exporter,sitc,rca
THA,0360,0.6043693328149056
THA,0371,0.8695129755559199
THA,0372,0.8370763253645741
THA,0421,0.5185872002978942
THA,0422,0.8842533742952727
THA,0470,0.6820368070517495
THA,0483,0.306101631247183
THA,0488,0.1890280135960702
THA,0548,0.9218607128544101
THA,0564,0.47360588217241006
THA,0579,0.5795664385627894
THA,0582,0.8710239126582119
THA,0585,0.18658969797663688
THA,0589,0.7178753298465739
THA,0611,0.7616592512182031
THA,0612,0.7165258315970361
THA,0615,0.6853715198845924
THA,0620,0.09078989334784847
THA,0712,0.32676468720429935
THA,0814,0.13570939028407839
THA,0819,0.4639020865263479
THA,0980,0.42477199661129805
THA,1110,0.47208366627670245
THA,1123,0.054633778350329745
THA,2232,0.27942360657391796
THA,2320,0.9174728627769297
THA,2460,0.558071213465914
THA,2483,0.6185197736895435
THA,2519,0.07464993164055625
THA,2634,0.01629629697070349
THA,2665,0.6358866251768325
THA,2666,0.7125013111862455
THA,2667,0.33842039622247005
THA,2671,0.46549123360246136
THA,2672,0.29997538988566597
THA,2714,0.972441432284532
THA,2732,0.8322622774503434
THA,2786,0.21951976344992508
THA,2911,0.04056591762387265
THA,2922,0.40736209326039213
THA,2923,0.27954693061856634
THA,2925,0.25851482854440166
THA,3351,0.0020792588254218832
THA,3352,0.5017686024047334
THA,4244,0.3247784674723141
THA,4249,0.22616130566069162
THA,5112,0.45350789035899947
THA,5123,0.556703516770668
THA,5138,0.6687285128564515
THA,5139,0.1173572564235685
THA,5161,0.21168406741150134
THA,5311,0.13359651019938468
THA,5530,0.2809740820326594
THA,5541,0.2604989306138093
THA,5542,0.02761670530600047
THA,5722,0.4217535786039369
THA,5823,0.516303335065603
THA,5824,0.05334205257045079
THA,5826,0.412030449791315
THA,5827,0.2839094054397189
THA,5829,0.0077067384762083985
THA,5831,0.40712300266404
THA,5832,0.3569006178881308
THA,5833,0.3323797568854417
THA,5834,0.2309693598934187
THA,5836,0.022991452020174795
THA,5839,0.38694136256867784
THA,5842,0.8767190125370707
THA,5921,0.8738393433861206
THA,5922,0.42392432450664824
THA,6114,0.369559426887914
THA,6116,0.2046957732814546
THA,6129,0.17617151455726276
THA,6210,0.7444711984484443
THA,6251,0.5150969654970736
THA,6252,0.5299014036318904
THA,6253,0.8459584100374663
THA,6254,0.7863626339584054
THA,6259,0.21293756792193075
THA,6281,0.8098692411687549
THA,6282,0.21538681104282945
THA,6289,0.28357302669064843
THA,6343,0.46075459680752606
THA,6354,0.5311629500646885
THA,6415,0.17390601177130632
THA,6416,0.5018880359761152
THA,6513,0.06264730797546338
THA,6514,0.29437278838515935
THA,6516,0.39484018723727976
THA,6517,0.18184456063525373
THA,6521,0.0556884840123539
THA,6522,0.09007267222626505
THA,6531,0.07604309513371774
THA,6532,0.19486102218752288
THA,6534,0.32311779205391905
THA,6536,0.5551625458903702
THA,6553,0.05291126881019767
THA,6560,0.28190033805159076
THA,6574,0.10517392623935481
THA,6575,0.47672510813870317
THA,6581,0.11565180533008236
THA,6594,0.28784424569498085
THA,6595,0.023907871371990762
THA,6611,0.24480392347181548
THA,6612,0.5821149258532142
THA,6618,0.3477248650858
THA,6631,0.37680799413532007
THA,6638,0.19744334809719125
THA,6644,0.18796318697570302
THA,6646,0.03245591196734432
THA,6648,0.09167594621976308
THA,6664,0.27677844571736676
THA,6665,0.5833298434747809
THA,6666,0.0051913989495419866
THA,6673,0.7399192946413484
